STAKE NO,DATE,SNOWDEPTH,COREDEPTH,TUBE+CORE,EMPTYTUBE,SNOW,SNOW,FROST,FROST,1/2 WAY MEAS,NOTES
S32,1/5/2023,36.5,25,,,,,,,,is this plotted in the GPS correctly?
S33,1/5/2023,36,22.5,,,,,,,,
S23,1/5/2023,42,27,,,,,,,,
S13,1/5/2023,37,20,,,,,,,,
S14,1/5/2023,34.5,20,,,,,,,,
S24,1/5/2023,36,27,,,,,,,,
S34,1/5/2023,38,13,,,,,,,,
S44,1/5/2023,35.5,12,,,,,,,,
S43,1/5/2023,35,13,,,,,,,,
S54,1/5/2023,33,23,,,,,,,,
S55,1/5/2023,32.5,22.5,,,,,,,,
S45,1/5/2023,37,28.5,,,,,,,,
S46,1/5/2023,35,16,,,,,,,,
S36,1/5/2023,37,22,,,,,,,,
S26,1/5/2023,33.5,26,,,,,,,,
S25,1/5/2023,40.5,32,,,,,0,0,,
S35,1/5/2023,46.5,20,,,,,,,,
S601,1/5/2023,19,10,,,,,,,22,
S602,1/5/2023,24,19,,,,,,,22,
S603,1/5/2023,21,12,,,,,0.3,9.144,26,
S613,1/5/2023,34.5,20,,,,,0,0,17,
S614,1/5/2023,20,15,,,,,,,27,
S624,1/5/2023,32,17,,,,,,,27,
S625,1/5/2023,28.5,23.5,,,,,,,23.5,
S635,1/5/2023,33.5,24,,,,,,,25,
S636,1/5/2023,25,19.5,,,,,,,20.5,
S646,1/5/2023,20,17,,,,,,,,
S645,1/5/2023,36,26,,,,,,,,
S655,1/5/2023,29,22,,,,,,,,
S654,1/5/2023,32,23,,,,,,,30,
S644,1/5/2023,26,17.5,,,,,,,,
S633,1/5/2023,23,16,,,,,,,,
S643,1/5/2023,18,10.5,,,,,,,,
S642,1/5/2023,30,20,,,,,,,,
S632,1/5/2023,20,19,,,,,0.37,11.2776,19.5,
S622,1/5/2023,21,10.5,,,,,0.39,11.8872,21,
S631,1/5/2023,19,13,,,,,,,,
S621,1/5/2023,22.5,18,,,,,,,,
S611,1/5/2023,26,22,,,,,,,,
S612,1/5/2023,36,32.5,,,,,,,,
S623,1/5/2023,30,24.5,,,,,0,0,,
S634,1/5/2023,39,24,,,,,,,,
S20,1/13/2023,29,22,23.7,22.3,1.4,3.556,,,,
S15,1/13/2023,35,29,24.6,21.6,3,7.62,,,,
S05,1/13/2023,26,22,23.6,21.6,2,5.08,,,,
S04,1/13/2023,7,<5,21.7,21.6,0.1,0.254,,,,
S03,1/13/2023,38,27,24.8,21.6,3.2,8.128,,,,
S02,1/13/2023,22,23,23.6,21.6,2,5.08,,,,
S01,1/13/2023,32,28,24.3,21.6,2.7,6.858,,,,
S00,1/13/2023,37,33,24.6,21.6,3,7.62,,,,
S11,1/13/2023,38,31,24.9,21.6,3.3,8.382,,,,
S21,1/13/2023,26,22,24.1,21.6,2.5,6.35,,,,
S12,1/13/2023,29,22,23.6,21.6,2,5.08,,,,
S22,1/13/2023,38.5,31,24.7,21.6,3.1,7.874,,,,
S32,1/13/2023,32,19,23.3,21.6,1.7,4.318,,,,
S33,1/13/2023,28,17,23.4,21.7,1.7,4.318,,,,
S23,1/13/2023,33,25,24.3,21.7,2.6,6.604,,,,
S13,1/13/2023,41,23,23.8,21.6,2.2,5.588,,,,
S14,1/13/2023,31,28,24.5,21.7,2.8,7.112,,,,
S24,1/13/2023,33,27,24.4,21.7,2.7,6.858,,,,
S34,1/13/2023,35,22,23.6,21.7,1.9,4.826,,,,
S44,1/13/2023,38,34,25.1,21.7,3.4,8.636,,,,
S43,1/13/2023,34,25,24,21.7,2.3,5.842,,,,
S54,1/13/2023,32,28,24.7,21.7,3,7.62,,,,
S55,1/13/2023,30,25,23.9,21.7,2.2,5.588,,,,
S45,1/13/2023,36,30,24.6,21.7,2.9,7.366,,,,
S46,1/13/2023,37,24,23.5,21.7,1.8,4.572,,,,
S36,1/13/2023,33,30,24.8,21.7,3.1,7.874,,,,
S26,1/13/2023,34,20,23.8,21.7,2.1,5.334,,,,
S25,1/13/2023,45,37,25.8,21.7,4.1,10.414,,,,
S35,1/13/2023,33,26,24.2,21.7,2.5,6.35,,,,
S601,1/13/2023,18,10,22.6,21.7,0.9,2.286,,,19,
S602,1/13/2023,26,22,23.8,21.7,2.1,5.334,,,20,
S603,1/13/2023,22,17,23.3,21.7,1.6,4.064,,,,
S613,1/13/2023,31,20,23.4,21.7,1.7,4.318,,,16,
S614,1/13/2023,22,13,23,21.7,1.3,3.302,,,,
S624,1/13/2023,29,26,24.7,21.7,3,7.62,,,24,
S625,1/13/2023,29,23,23.9,21.7,2.2,5.588,,,,
S635,1/13/2023,32,25,23.7,21.7,2,5.08,,,,
S636,1/13/2023,26,20,23.4,21.7,1.7,4.318,,,23,
S646,1/13/2023,25,16,23.5,21.7,1.8,4.572,,,,
S645,1/13/2023,28,25,23.8,21.7,2.1,5.334,,,,
S655,1/13/2023,32,26,24.1,21.7,2.4,6.096,,,,
S654,1/13/2023,31,28,24.4,21.7,2.7,6.858,,,31,
S644,1/13/2023,28,26,24.1,21.7,2.4,6.096,,,,
S633,1/13/2023,22,15,23,21.7,1.3,3.302,,,,
S643,1/13/2023,25,19,23.5,21.7,1.8,4.572,,,,
S642,1/13/2023,,,,,,,,,,
S632,1/13/2023,23,15,23.2,21.7,1.5,3.81,,,22,
S622,1/13/2023,20,11,22.2,21.7,0.5,1.27,,,,
S631,1/13/2023,19,14,23.8,21.7,2.1,5.334,,,,
S621,1/13/2023,20,15,23.4,21.7,1.7,4.318,,,,
S611,1/13/2023,29,28,24.4,21.7,2.7,6.858,,,,
S612,1/13/2023,38,31,24.9,21.7,3.2,8.128,,,,
S623,1/13/2023,40,34,25.2,21.7,3.5,8.89,,,,
S634,1/13/2023,40,36,25,21.7,3.3,8.382,,,,
S20,1/20/2023,40.5,35,25.2,21.7,3.5,8.89,,,,
S15,1/20/2023,43.5,37,25.4,21.7,3.7,9.398,,,,
S05,1/20/2023,33.5,27,24.6,21.7,2.9,7.366,0,0,,
S04,1/20/2023,25,21,24.1,21.7,2.4,6.096,0.77,23.4696,,
S03,1/20/2023,29,25,24,21.7,2.3,5.842,,,,
S02,1/20/2023,28.5,25,24.1,21.9,2.2,5.588,,,,
S01,1/20/2023,40,26,24.9,21.8,3.1,7.874,,,,
S00,1/20/2023,40,27,24.7,21.7,3,7.62,,,,
S11,1/20/2023,43.5,26.5,24.3,21.7,2.6,6.604,,,,a little bog grass on bottom
S21,1/20/2023,28.5,24,24.9,21.7,3.2,8.128,,,,
S12,1/20/2023,32,27,24.5,21.7,2.8,7.112,,,,
S22,1/20/2023,41.5,34,25.1,21.8,3.3,8.382,,,,
S32,1/20/2023,37,21,23.8,21.8,2,5.08,,,,
S33,1/20/2023,43,28,25.6,21.8,3.8,9.652,,,,
S23,1/20/2023,44.5,23,25.1,21.8,3.3,8.382,,,,
S13,1/20/2023,47,25,24.8,21.8,3,7.62,,,,
S14,1/20/2023,36,25,25.2,21.7,3.5,8.89,,,,
S24,1/20/2023,46,26,25,21.7,3.3,8.382,,,,
S34,1/20/2023,36,24,24.1,21.7,2.4,6.096,0,0,,
S44,1/20/2023,40.5,37,25.7,21.7,4,10.16,0,0,,
S43,1/20/2023,33.5,25,24.6,21.9,2.7,6.858,,,,
S54,1/20/2023,38.5,32,25.1,21.9,3.2,8.128,0,0,,
S55,1/20/2023,36,26,24.4,21.9,2.5,6.35,,,,
S45,1/20/2023,37.5,32,24.9,21.9,3,7.62,,,,
S46,1/20/2023,36,24,24.7,21.9,2.8,7.112,,,,
S36,1/20/2023,42,33.5,25.5,21.9,3.6,9.144,,,,
S26,1/20/2023,40,26.5,24.8,21.9,2.9,7.366,,,,
S25,1/20/2023,42,25,25.3,21.9,3.4,8.636,0,0,,
S35,1/20/2023,49.5,33,25.7,21.9,3.8,9.652,,,,
S601,1/20/2023,20.5,18.5,23.3,21.7,1.6,4.064,,,21,
S602,1/20/2023,27,22,23.9,21.7,2.2,5.588,,,19,
S603,1/20/2023,25,13.5,22.7,21.7,1,2.54,0.32,9.7536,28,
S613,1/20/2023,31.5,28,23.8,21.7,2.1,5.334,0,0,,
S614,1/20/2023,22,14,23.1,21.7,1.4,3.556,,,31,
S624,1/20/2023,35,18.5,23.5,21.7,1.8,4.572,,,25,
S625,1/20/2023,34,25,23.9,21.7,2.2,5.588,,,30,
S635,1/20/2023,36,28,24.7,21.7,3,7.62,,,27,
S636,1/20/2023,28,24,23.7,21.7,2,5.08,,,24,
S646,1/20/2023,27.5,20,23.5,21.7,1.8,4.572,,,,
S645,1/20/2023,36,30,24.8,21.7,3.1,7.874,,,,
S655,1/20/2023,32.5,28.5,24.4,21.7,2.7,6.858,,,,
S654,1/20/2023,36.5,24,24.9,21.7,3.2,8.128,,,31,
S644,1/20/2023,25,17,23.2,21.8,1.4,3.556,,,,
S633,1/20/2023,26,21,23.6,21.8,1.8,4.572,,,,
S643,1/20/2023,27,18.5,23.5,21.8,1.7,4.318,,,28,
S642,1/20/2023,28,24.5,24.2,21.8,2.4,6.096,,,32,
S632,1/20/2023,24,16,23.6,21.8,1.8,4.572,0.31,9.4488,20.5,
S622,1/20/2023,23,15,23.3,21.8,1.5,3.81,0.47,14.3256,,
S631,1/20/2023,22,20,23.4,21.8,1.6,4.064,,,27,
S621,1/20/2023,23,12,23.1,21.8,1.3,3.302,,,,
S611,1/20/2023,30,28,24.7,21.8,2.9,7.366,,,,
S612,1/20/2023,38,35,24.9,21.8,3.1,7.874,,,,
S623,1/20/2023,31,20,23.9,21.8,2.1,5.334,0,0,,
S634,1/20/2023,40,35.5,26.2,21.8,4.4,11.176,,,,
S20,1/30/2023,,,,,,,,,,all frost measured on 1/30/2023
S15,1/30/2023,,,,,,,0,0,,
S05,1/30/2023,,,,,,,0,0,,
S04,1/30/2023,,,,,,,,,,
S03,1/30/2023,,,,,,,,,,
S02,1/30/2023,,,,,,,,,,
S01,1/30/2023,,,,,,,,,,
S00,1/30/2023,,,,,,,,,,
S11,1/30/2023,,,,,,,,,,
S21,1/30/2023,,,,,,,,,,
S12,1/30/2023,,,,,,,,,,
S22,1/30/2023,,,,,,,,,,
S32,1/30/2023,,,,,,,,,,
S33,1/30/2023,,,,,,,,,,
S23,1/30/2023,,,,,,,,,,
S13,1/30/2023,,,,,,,,,,
S14,1/30/2023,,,,,,,,,,
S24,1/30/2023,,,,,,,,,,
S34,1/30/2023,,,,,,,0.31,9.4488,,
S44,1/30/2023,,,,,,,0.29,8.8392,,
S43,1/30/2023,,,,,,,,,,
S54,1/30/2023,,,,,,,0,0,,
S55,1/30/2023,,,,,,,,,,
S45,1/30/2023,,,,,,,,,,
S46,1/30/2023,,,,,,,,,,
S36,1/30/2023,,,,,,,,,,
S26,1/30/2023,,,,,,,,,,
S25,1/30/2023,,,,,,,0,0,,
S35,1/30/2023,,,,,,,,,,
S601,2/1/2023,22,18,23.4,21.7,1.7,4.318,,,,all frost measured on 1/30/2023
S602,2/1/2023,32,28,24.6,21.7,2.9,7.366,,,,
S603,2/1/2023,25,20,23.6,21.7,1.9,4.826,0.41,12.4968,29,
S613,2/1/2023,38,35,25,21.7,3.3,8.382,0.28,8.5344,23,
S614,2/1/2023,30,28,24.2,21.7,2.5,6.35,,,32,
S624,2/1/2023,39,32,24.4,21.7,2.7,6.858,,,36,
S625,2/1/2023,37,33,25.1,21.7,3.4,8.636,,,35,
S635,2/1/2023,43,32,24.7,21.7,3,7.62,,,33,
S636,2/1/2023,34,33,24.6,21.8,2.8,7.112,,,27,
S646,2/1/2023,29,23,23.9,21.8,2.1,5.334,,,,
S645,2/1/2023,37,33,25,21.8,3.2,8.128,,,,
S655,2/1/2023,28,25,24.2,21.8,2.4,6.096,,,,
S654,2/1/2023,37,37,25.2,21.8,3.4,8.636,,,42,
S644,2/1/2023,33,31,24.2,21.8,2.4,6.096,,,,
S633,2/1/2023,30,24,23.7,21.8,1.9,4.826,,,,
S643,2/1/2023,32,31,24.5,21.8,2.7,6.858,,,,
S642,2/1/2023,34,30,24.4,21.8,2.6,6.604,,,,
S632,2/1/2023,26,13,23,21.8,1.2,3.048,0.4,12.192,21,
S622,2/1/2023,26,18,23.2,21.8,1.4,3.556,0.77,23.4696,,
S631,2/1/2023,22,21,23.3,21.8,1.5,3.81,,,,
S621,2/1/2023,24,22,23.6,21.8,1.8,4.572,,,,
S611,2/1/2023,29,19,23.7,21.8,1.9,4.826,,,,
S612,2/1/2023,39,37,24.9,21.8,3.1,7.874,,,,
S623,2/1/2023,29,25,24.2,21.8,2.4,6.096,0.04,1.2192,,
S634,2/1/2023,45,32,24.2,21.8,2.4,6.096,,,,all frost measured 2/13/2023
S20,2/10/2023,41,32,25.1,21.8,3.3,8.382,,,,
S15,2/10/2023,48,43,26.4,21.8,4.6,11.684,,0,,<1 changed to 0
S05,2/10/2023,38,33,24.9,21.8,3.1,7.874,,0,,<1 changed to 0
S04,2/10/2023,25,21,24.2,21.8,2.4,6.096,,,,
S03,2/10/2023,32,25,24.2,21.8,2.4,6.096,,,,
S02,2/10/2023,27,25,24.3,21.8,2.5,6.35,,,,
S01,2/10/2023,39,31,24.9,21.8,3.1,7.874,,,,
S00,2/10/2023,43,34,25.2,21.8,3.4,8.636,,,,
S11,2/10/2023,41,36,25.2,21.8,3.4,8.636,,,,
S21,2/10/2023,31,24,24.3,21.8,2.5,6.35,,,,
S12,2/10/2023,36,28,24.3,21.8,2.5,6.35,,,,
S22,2/10/2023,43,28,24.4,21.8,2.6,6.604,,,,
S32,2/10/2023,41,27,24,21.8,2.2,5.588,,,,
S33,2/10/2023,45,37,25.9,21.8,4.1,10.414,,,,
S23,2/10/2023,46,40,25.6,21.8,3.8,9.652,,,,some sphagnum @ bottom of tube
S13,2/10/2023,31,24,24.3,21.8,2.5,6.35,,,,
S14,2/10/2023,38,31,25.1,21.8,3.3,8.382,,,,
S24,2/10/2023,39,32,24.7,21.8,2.9,7.366,,,,
S34,2/10/2023,41,34,25,21.8,3.2,8.128,,0,,<1 changed to 0
S44,2/10/2023,46,39,25.5,21.8,3.7,9.398,0.23,7.0104,,
S43,2/10/2023,43,34,25.2,21.8,3.4,8.636,,,,
S54,2/10/2023,39,34,25,21.8,3.2,8.128,0,0,,
S55,2/10/2023,38,33,25.2,21.8,3.4,8.636,,,,
S45,2/10/2023,44,42,25.8,21.8,4,10.16,,,,
S46,2/10/2023,44,39,25.6,21.8,3.8,9.652,,,,
S36,2/10/2023,43,34,25.3,21.8,3.5,8.89,,,,
S26,2/10/2023,40,21,24.5,21.8,2.7,6.858,,,,
S25,2/10/2023,56,43,26.5,21.8,4.7,11.938,,0,,
S35,2/10/2023,42,36,25.3,21.8,3.5,8.89,,,,
S601,2/10/2023,23,7,22.4,21.7,0.7,1.778,,,,all frost measured 2/10/2023
S602,2/10/2023,32,24,24.4,21.7,2.7,6.858,,,,
S603,2/10/2023,22,21,23.8,21.7,2.1,5.334,0.31,9.4488,24,
S613,2/10/2023,37,33,24.9,21.7,3.2,8.128,0.68,20.7264,22,
S614,2/10/2023,24,24,24,21.7,2.3,5.842,,,,
S624,2/10/2023,36,28,24.5,21.7,2.8,7.112,,,,
S625,2/10/2023,32,28,24.5,21.7,2.8,7.112,,,31,
S635,2/10/2023,40,37,25.2,21.7,3.5,8.89,,,,
S636,2/10/2023,28,24,24.1,21.8,2.3,5.842,,,27,
S646,2/10/2023,27,17,23.3,21.8,1.5,3.81,,,,
S645,2/10/2023,35,33,25.2,21.8,3.4,8.636,,,,
S655,2/10/2023,34,32,24.5,21.8,2.7,6.858,,,,
S654,2/10/2023,35,33,25,21.8,3.2,8.128,,,40,
S644,2/10/2023,31,26,24.4,21.8,2.6,6.604,,,,
S633,2/10/2023,25,23,24.1,21.8,2.3,5.842,,,,
S643,2/10/2023,28,11,22.9,21.8,1.1,2.794,,,,
S642,2/10/2023,36,29,25.1,21.8,3.3,8.382,,,,
S632,2/10/2023,26,18,23.8,21.8,2,5.08,0.93,28.3464,22,
S622,2/10/2023,23,11,23.1,21.8,1.3,3.302,0?,0,,
S631,2/10/2023,23,6,22.2,21.9,0.3,0.762,,,,
S621,2/10/2023,27,21,24,21.9,2.1,5.334,,,,
S611,2/10/2023,33,23,24.6,21.9,2.7,6.858,,,,
S612,2/10/2023,41,30,25,21.9,3.1,7.874,,,,
S623,2/10/2023,43,40,25.8,21.9,3.9,9.906,0.18,5.4864,,
S634,2/10/2023,47,42,26.3,21.9,4.4,11.176,,,,
S20,2/17/2023,44,38,26.3,21.8,4.5,11.43,,,,
S15,2/17/2023,38,36,25.4,21.8,3.6,9.144,,,,
S05,2/17/2023,35,27,24.8,21.8,3,7.62,,,,
S04,2/17/2023,15,11,23.3,21.8,1.5,3.81,,,,
S03,2/17/2023,28,25,24.5,21.7,2.8,7.112,,,,
S02,2/17/2023,26,22,24.8,21.7,3.1,7.874,,,,
S01,2/17/2023,34,32,25.7,21.7,4,10.16,,,,
S00,2/17/2023,29,19,24,21.7,2.3,5.842,,,,
S11,2/17/2023,51,43,26.9,21.8,5.1,12.954,,,,
S21,2/17/2023,28,21,24.5,21.8,2.7,6.858,,,,
S12,2/17/2023,28,22,23.9,21.8,2.1,5.334,,,,
S22,2/17/2023,30,28,24.1,21.8,2.3,5.842,,,,
S32,2/17/2023,39,33,25.4,21.8,3.6,9.144,,,,
S33,2/17/2023,41,22,23.8,21.8,2,5.08,,,,
S23,2/17/2023,37,29,25,21.8,3.2,8.128,,,,
S13,2/17/2023,37,33,26,21.8,4.2,10.668,,,,
S14,2/17/2023,36,33,25.7,21.8,3.9,9.906,,,,
S24,2/17/2023,39,28,25.1,21.8,3.3,8.382,,,,
S34,2/17/2023,49,39,25.5,21.8,3.7,9.398,,,,
S44,2/17/2023,45,39,26,21.8,4.2,10.668,,,,
S43,2/17/2023,40,38,25.7,21.8,3.9,9.906,,,,
S54,2/17/2023,37,35,25.6,21.8,3.8,9.652,,,,
S55,2/17/2023,32,24,24.4,21.8,2.6,6.604,,,,
S45,2/17/2023,42,20,24.6,21.8,2.8,7.112,,,,
S46,2/17/2023,40,35,25.8,21.8,4,10.16,,,,
S36,2/17/2023,40,34,26,21.8,4.2,10.668,,,,
S26,2/17/2023,35,28,25.1,21.8,3.3,8.382,,,,
S25,2/17/2023,47,32,25.7,21.8,3.9,9.906,,,,
S35,2/17/2023,42,23,24.5,21.8,2.7,6.858,,,,
S601,2/17/2023,20,18,23.7,21.8,1.9,4.826,,,,
S602,2/17/2023,11,9,22.8,21.8,1,2.54,,,,
S603,2/17/2023,16,15,23.6,21.8,1.8,4.572,,,,
S613,2/17/2023,25,24,24.5,21.8,2.7,6.858,,,,
S614,2/17/2023,20,19,24,21.8,2.2,5.588,,,35,
S624,2/17/2023,30,25,25.1,21.8,3.3,8.382,,,30,
S625,2/17/2023,36,22,24.1,21.8,2.3,5.842,,,31,
S635,2/17/2023,35,33,25.3,21.8,3.5,8.89,,,24,
S636,2/17/2023,26,25,25.2,21.8,3.4,8.636,,,24,
S646,2/17/2023,27,25,24.6,21.8,2.8,7.112,,,,
S645,2/17/2023,27,24,24.9,21.8,3.1,7.874,,,,
S655,2/17/2023,27,22,24.4,21.8,2.6,6.604,,,,
S654,2/17/2023,33,30,26,21.8,4.2,10.668,,,33,
S644,2/17/2023,32,28,24.7,21.8,2.9,7.366,,,,
S633,2/17/2023,23,20,24.1,21.8,2.3,5.842,,,,
S643,2/17/2023,27,24,24.5,21.8,2.7,6.858,,,,
S642,2/17/2023,34,25,25,21.8,3.2,8.128,,,29,
S632,2/17/2023,23,20,24.2,21.8,2.4,6.096,,,,
S622,2/17/2023,18,16,23.4,21.8,1.6,4.064,,,20,
S631,2/17/2023,21,19,23.8,21.8,2,5.08,,,30,
S621,2/17/2023,24,20,24.1,21.8,2.3,5.842,,,,
S611,2/17/2023,26,22,24.2,21.8,2.4,6.096,,,,
S612,2/17/2023,43,39,25.4,21.8,3.6,9.144,,,,
S623,2/17/2023,44,41,26.8,21.8,5,12.7,,,,
S634,2/17/2023,52,34,26.3,21.8,4.5,11.43,,,,
S20,2/24/2023,52,25,25,21.8,3.2,8.128,,,,frost measured 2/27/2023
S15,2/24/2023,52,41,26.1,21.8,4.3,10.922,,0,,<1 changed to 0
S05,2/24/2023,44,35,25.9,21.8,4.1,10.414,,0.39,,
S04,2/24/2023,31,23,24.1,21.8,2.3,5.842,,,,
S03,2/24/2023,42,37,25.6,21.8,3.8,9.652,,,,
S02,2/24/2023,32,27,24.6,21.8,2.8,7.112,,,,
S01,2/24/2023,41,35,25.5,21.8,3.7,9.398,,,,
S00,2/24/2023,45,39,25.9,21.8,4.1,10.414,,,,
S11,2/24/2023,50,41,26.2,21.8,4.4,11.176,,,,
S21,2/24/2023,38,31,25.2,21.8,3.4,8.636,,,,
S12,2/24/2023,41,33,25.6,21.8,3.8,9.652,,,,
S22,2/24/2023,49,44,26.4,21.8,4.6,11.684,,,,
S32,2/24/2023,52,39,26.2,21.8,4.4,11.176,,,,
S33,2/24/2023,49,36,25.6,21.8,3.8,9.652,,,,
S23,2/24/2023,52,32,25.5,21.8,3.7,9.398,,,,
S13,2/24/2023,52,Aug-42,25.6,21.8,3.8,9.652,,,,
S14,2/24/2023,30,25,24,21.8,2.2,5.588,,,,
S24,2/24/2023,46,38,25.7,21.8,3.9,9.906,,,,
S34,2/24/2023,61,49,25.9,21.8,4.1,10.414,,0,,<1 changed to 0
S44,2/24/2023,49,41,26.1,21.8,4.3,10.922,,0.15,,
S43,2/24/2023,44,33,25.4,21.8,3.6,9.144,,,,
S54,2/24/2023,44,35,25.1,21.8,3.3,8.382,,0,,"slight resistance when measuring frost, but was already in soil when reached"
S55,2/24/2023,46,38,25.2,21.8,3.4,8.636,,,,
S45,2/24/2023,48,42,26,21.8,4.2,10.668,,,,
S46,2/24/2023,50,39,25.9,21.8,4.1,10.414,,,,
S36,2/24/2023,46,35,25.3,21.8,3.5,8.89,,,,
S26,2/24/2023,44,36,26.1,21.8,4.3,10.922,,,,
S25,2/24/2023,53,48,27,21.8,5.2,13.208,,0,,
S35,2/24/2023,56,50,26.9,21.8,5.1,12.954,,,,
S601,2/24/2023,25,20,23.9,21.8,2.1,5.334,,,27,frost measured 2/27/2023
S602,2/24/2023,33,21,24.2,21.8,2.4,6.096,,,28,
S603,2/24/2023,23,19,23.7,21.8,1.9,4.826,,0.3,37,
S613,2/24/2023,40,31,25.1,21.8,3.3,8.382,,0,25,<1 changed to 0
S614,2/24/2023,26,24,24,21.8,2.2,5.588,,,,
S624,2/24/2023,40,34,25,21.8,3.2,8.128,,,,
S625,2/24/2023,33,20,23.9,21.8,2.1,5.334,,,37,
S635,2/24/2023,44,35,25.8,21.8,4,10.16,,,30,
S636,2/24/2023,25,25,24.1,21.8,2.3,5.842,,,25,
S646,2/24/2023,34,29,25.1,21.8,3.3,8.382,,,,
S645,2/24/2023,41,38,26.1,21.8,4.3,10.922,,,,
S655,2/24/2023,35,24,24.4,21.8,2.6,6.604,,,,
S654,2/24/2023,41,40,26,21.8,4.2,10.668,,,39,
S644,2/24/2023,32,28,24.6,21.8,2.8,7.112,,,,
S633,2/24/2023,30,29,24.7,21.8,2.9,7.366,,,,
S643,2/24/2023,29,26,24.5,21.8,2.7,6.858,,,,
S642,2/24/2023,42,38,26.3,21.8,4.5,11.43,,,37,
S632,2/24/2023,28,26,24.2,21.8,2.4,6.096,,0.63,,
S622,2/27/2023,18,15,23.5,21.8,1.7,4.318,,0.2,,
S631,2/27/2023,26,23,23.6,21.8,1.8,4.572,,,33,
S621,2/27/2023,30,24,24.3,21.8,2.5,6.35,,,,
S611,2/27/2023,25,22,23.9,21.8,2.1,5.334,,,,
S612,2/27/2023,59,35,26.1,21.8,4.3,10.922,,,,
S623,2/27/2023,48,37,26.1,21.8,4.3,10.922,,,,drill battery died doing frost
S634,2/27/2023,54,35,25,21.8,3.2,8.128,,,,
S20,3/9/2023,53,28,25.4,21.8,3.6,9.144,,,,
S15,3/9/2023,22,17,23.6,21.8,1.8,4.572,0.21,6.4008,,
S05,3/9/2023,39,27,25.1,21.8,3.3,8.382,0.16,4.8768,,
S04,3/9/2023,29,27,25,21.8,3.2,8.128,,,,
S03,3/9/2023,29,24,24.3,21.8,2.5,6.35,,,,
S02,3/9/2023,29.5,27,24.9,21.8,3.1,7.874,,,,
S01,3/9/2023,48,37,25.8,21.8,4,10.16,,,,
S00,3/9/2023,43,34,25.7,21.8,3.9,9.906,,,,
S11,3/9/2023,39,35,26.4,21.8,4.6,11.684,,,,
S21,3/9/2023,27,22,25.2,21.8,3.4,8.636,,,,
S12,3/9/2023,30,16,22.9,21.8,1.1,2.794,,,,
S22,3/9/2023,46,34,25.8,21.8,4,10.16,,,,
