SITE,DATE,SWE_cm
S635,3/17/2023,8.128
S636,3/17/2023,8.89
S646,3/17/2023,9.652
S645,3/17/2023,13.97
S655,3/17/2023,8.636
S654,3/17/2023,13.97
S644,3/17/2023,10.414
S633,3/17/2023,8.382
S643,3/17/2023,8.636
S642,3/17/2023,15.24
S632,3/17/2023,8.636
S622,3/17/2023,3.302
S631,3/17/2023,6.604
S621,3/17/2023,9.144
S611,3/17/2023,8.636
S612,3/17/2023,10.16
S623,3/17/2023,11.176
S634,3/17/2023,14.732
S220,3/24/2023,10.414
S215,3/24/2023,18.542
S205,3/24/2023,14.224
S204,3/24/2023,6.35
S203,3/24/2023,6.858
S202,3/24/2023,8.382
S201,3/24/2023,13.716
S200,3/24/2023,12.954
S211,3/24/2023,9.906
S221,3/24/2023,13.716
S212,3/24/2023,13.208
S222,3/24/2023,13.97
S232,3/24/2023,13.462
S233,3/24/2023,15.24
S223,3/24/2023,15.24
S213,3/24/2023,12.954
S214,3/24/2023,12.7
S224,3/24/2023,10.16
S234,3/24/2023,13.462
S244,3/24/2023,11.176
S243,3/24/2023,11.938
S254,3/24/2023,13.97
S255,3/24/2023,9.144
S245,3/24/2023,9.906
S246,3/24/2023,13.208
S236,3/24/2023,
S226,3/24/2023,13.462
S225,3/24/2023,11.176
S235,3/24/2023,16.256
S601,3/24/2023,8.89
S602,3/24/2023,11.684
S603,3/24/2023,4.064
S613,3/24/2023,9.906
S614,3/24/2023,4.064
S624,3/24/2023,12.446
S625,3/24/2023,3.302
S635,3/24/2023,7.62
S636,3/24/2023,8.89
S646,3/24/2023,8.636
S645,3/24/2023,10.668
S655,3/24/2023,14.478
S654,3/24/2023,10.668
S644,3/24/2023,4.318
S633,3/24/2023,9.652
S643,3/24/2023,10.668
S642,3/24/2023,12.954
S632,3/24/2023,8.128
S622,3/24/2023,6.604
S631,3/24/2023,7.874
S621,3/24/2023,8.128
S611,3/24/2023,5.08
S612,3/24/2023,11.176
S623,3/24/2023,16.256
S634,3/24/2023,16.764
S220,3/31/2023,7.366
S215,3/31/2023,14.732
S205,3/31/2023,13.97
S204,3/31/2023,4.064
S203,3/31/2023,12.192
S202,3/31/2023,8.89
S201,3/31/2023,11.684
S200,3/31/2023,11.176
S211,3/31/2023,12.954
S221,3/31/2023,12.446
S212,3/31/2023,12.7
S222,3/31/2023,9.652
S232,3/31/2023,11.684
S233,3/31/2023,8.636
S223,3/31/2023,16.256
S213,3/31/2023,13.208
S214,3/31/2023,13.716
S224,3/31/2023,8.636
S234,3/31/2023,14.224
S244,3/31/2023,13.208
S243,3/31/2023,12.954
S254,3/31/2023,11.938
S255,3/31/2023,13.716
S245,3/31/2023,10.922
S246,3/31/2023,14.224
S236,3/31/2023,11.684
S226,3/31/2023,14.224
S225,3/31/2023,15.748
S235,3/31/2023,18.034
S601,3/31/2023,7.112
