"Label","Class","Stake","Horizon","Start.Depth..cm.","End.Depth..cm.","Structure","Consistency","Mottled","X.Clay","X.Silt","X.Sand","Watershed"
"S226-2","SaLo","S226","E",8,14,"single/granular","loose/friable","",14.65346535,21.12211221,64.22442244,2
"S226-3","SaLo","S226","B1",14,55,"single/granular","loose/friable","",8.712871287,17.82178218,73.46534653,2
"S226-4","SaLo","S226","B2",55,72,"single/granular","loose/friable","",10.69306931,13.86138614,75.44554455,2
"S226-5","SaLo","S226","BC",72,87,"single/granular","loose/friable","",10.69306931,11.22112211,78.08580858,2
"S226-6","LoSa","S226","CB",87,102,"single/granular","loose/friable","",8.712871287,9.900990099,81.38613861,2
"S236-1","SaLo","S236","A",1,20,"granular/blocky","friable","",10.69306931,11.22112211,78.08580858,2
"S236-2","SaLo","S236","AB",20,28,"granular","friable","",14.65346535,16.50165017,68.84488449,2
"S236-3","SaClLo","S236","BC",28,38,"granular/blocky","firm","mottled",21.78217822,16.63366337,61.58415842,2
"S236-4","SaCl","S236","C",38,100,"prismatic","firm","mottled",36.63366337,14.32343234,49.04290429,2
"S243-1","SaLo","S243","A",0,10,"granular","friable","",18.61386139,27.06270627,54.32343234,2
"S243-2","SaClLo","S243","B",10,32,"blocky","friable/firm","",34.65346535,19.6039604,45.74257426,2
"S243-3","Cl","S243","CB",32,53,"blocky","firm","",45.54455446,14.32343234,40.1320132,2
"S243-4","Cl","S243","C",53,100,"blocky","firm","",46.53465347,18.94389439,34.52145215,2
"S244-1","SaLo","S244","A",0,9,"granular","friable","",14.65346535,29.04290429,56.30363036,2
"S244-2","SaLo","S244","AB",9,25,"granular/blocky","friable","",16.63366337,22.77227723,60.59405941,2
"S244-3","SaCl","S244","B",25,35,"granular/blocky","friable","",39.40594059,14.85148515,45.74257426,2
"S244-4","SaLo","S244","BC",35,56,"granular/blocky","friable/firm","",19.6039604,19.8019802,60.59405941,2
"S244-5","Cl","S244","CB",56,73,"blocky","frim","",44.35643564,17.82178218,37.82178218,2
"S244-6","Cl","S244","C",73,104,"blocky","firm","",45.34653465,17.49174917,37.16171617,2
"S245-1","SaLo","S245","A",1,11,"granular","friable","",11.68316832,24.68646865,63.63036304,2
"S245-2","SaLo","S245","EB",11,15,"granular","friable","",12.67326733,22.70627063,64.62046205,2
"S245-3","SaLo","S245","B",15,29,"granular","friable","",14.65346535,20.52805281,64.81848185,2
"S245-4","SaClLo","S245","BC",29,45,"blocky","friable/firm","",26.53465347,18.41584158,55.04950495,2
"S245-5","Cl","S245","CB",45,67,"blocky","firm","",46.33663366,15.51155116,38.15181518,2
"S245-6","Cl","S245","C",67,100,"blocky","firm","",40.3960396,18.81188119,40.79207921,2
"S246-1","SaLo","S246","A",1,14,"granular","friable","",12.87128713,23.23432343,63.89438944,2
"S246-2","SaLo","S246","E",14,20,"granular","friable","",12.87128713,23.89438944,63.23432343,2
"S246-3","SaLo","S246","B",20,31,"granular","friable","",17.82178218,20.1320132,62.04620462,2
"S246-4","SaClLo","S246","BC",31,44,"granular/blocky","friable/firm","",28.71287129,19.14191419,52.14521452,2
"S246-5","Cl","S246","CB",44,60,"blocky/granular","firm/friable","",43.56435644,17.16171617,39.27392739,2
"S246-6","Cl","S246","C",60,100,"blocky","firm","",45.54455446,16.17161716,38.28382838,2
"S254-1","Lo","S254","A",0,10,"granular","friable","",14.65346535,34.32343234,51.02310231,2
"S254-2","Lo","S254","E",10,19,"granular","friable","",16.63366337,33.99339934,49.37293729,2
"S254-3","Lo","S254","B1",19,26,"granular","friable","",17.62376238,32.67326733,49.7029703,2
"S254-4","SaClLo","S254","B2",26,46,"granular","friable","",23.56435644,16.50165017,59.9339934,2
"S254-5","SaClLo","S254","CB",46,69,"blocky","firm","",31.48514851,17.49174917,51.02310231,2
"S254-6","SaClLo","S254","2BC",69,86,"granular","firm/friable","",25.54455446,6.930693069,67.52475248,2
"S254-7","LoSa","S254","2C",86,100,"single/granular","loose/friable","",12.67326733,3.96039604,83.36633663,2
"S255-1","SaLo","S255","A",0,6,"granular","friable","",11.68316832,35.31353135,53.00330033,2
"S255-2","SaLo","S255","E",6,16,"granular","friable","",11.68316832,28.71287129,59.6039604,2
"S255-3","SaLo","S255","B1",16,29,"granular","friable","",13.66336634,22.11221122,64.22442244,2
"S255-4","SaLo","S255","B2",29,47,"granular","friable","",15.64356436,24.09240924,60.2640264,2
"S255-5","SaClLo","S255","BC",47,60,"blocky","firm","",31.48514851,21.45214521,47.06270627,2
"S255-6","SaClLo","S255","CB",60,72,"granular","firm","",24.55445545,20.4620462,54.98349835,2
"S255-7","Cl","S255","C",72,100,"blocky","firm","",43.36633663,16.83168317,39.8019802,2
"S601-1","SaLo","S601","A",0,9,"granular","friable","",14.65,23.1,62.24,6
"S601-2","SaLo","S601","E",9,18,"granular","friable","",14.65346535,23.76237624,61.58415842,6
"S601-3","SaLo","S601","B1",18,39,"granular","friable","",16.63366337,18.48184818,64.88448845,6
"S601-4","SaLo","S601","B2",39,66,"granular","friable","",14.65346535,11.88118812,73.46534653,6
